;Pos.;Participante;Meio de indicação;% dos votos;Eliminado em;edicao;Porcentagem/ Pontos;Porcentagem/ Votos
120;3;Francine Piaia;Finalista;30,54%[29];—;9;;
121;4;Ana Carolina Madeira;Líder (Priscila);58%[30];Semana 12;9;;
122;5;Flávio Steffli;Líder (Ana Carolina);69%[31];Semana 11;9;;
123;6;Josiane de Oliveira;Casa (2 votos);68%[32];Semana 11;9;;
124;7;Milena Fagundes;Líder (Josiane);63%[33];Semana 10;9;;
125;8;Naiá Giannocaro;Casa (4 votos);59%[34];Semana 9;9;;
126;9;Maíra Cardi;Líder (Maximiliano);62%[35];Semana 8;9;;
127;10;Ralf Krause;Líder (Maximiliano);64%[36];Semana 7;9;;
128;11;Mirla Prado;Líder (Priscila);66%[37];Semana 7;9;;
129;12;André de Almeida;Líder (Ana Carolina);71%[38];Semana 6;9;;
130;13;Emanuel Milchevski;Big Fone (Maximiliano);43%[39];Semana 5;9;;
131;14;Newton Siqueira;Líder (Priscila);72%[40];Semana 4;9;;
132;15;Alexandre Gomes;Big Fone / Quarto Branco (Leonardo, Newton e Ralf);49%[41];Semana 3;9;;
133;16;Leonardo Jancu;Desistente[42];—;Semana 3;9;;
134;17;Norberto Carias;Casa (8 votos);55%[43];Semana 2;9;;
135;18;Michelle da Costa;Casa (6 votos);52%[44];Semana 1;9;;
136;19–20;Daniel Gevaerd;Casa de Vidro;Não divulgado;Semana 1;9;;
137;19–20;Maíra Britto;Casa de Vidro;Não divulgado;Semana 1;9;;
138;1;Marcelo Dourado;Finalista;60%[1];—;10;;
139;2;Fernanda Cardoso;Finalista;29%[43];—;10;;
140;3;Cadu Parga;Finalista;11%[44];—;10;;
141;4;Lia Kheireddine;Casa (1 voto);51%[45];Semana 11;10;;
142;5;Dicesar Ferreira;Líder (Fernanda);58%[46];Semana 11;10;;
143;6;Anamara Barreira;Líder (Cadu);57%[47];Semana 10;10;;
144;7;Sérgio Franceschini;Casa (2 votos);53%[48];Semana 10;10;;
145;8;Michel Turtchin;Líder (Fernanda);63%[49];Semana 9;10;;
146;9;Eliéser Ambrósio;Líder (Fernanda);59%[50];Semana 8;10;;
147;10;Cláudia Colucci;Big Fone (Dourado);62%[51];Semana 7;10;;
148;11;Angélica Martins;Big Fone / Quarto Branco (6 votos);55%[39];Semana 6;10;;
149;12;Elenita Rodrigues;Casa (6 votos);52%[52];Semana 5;10;;
150;13;Uilliam Cardoso;Casa (6 votos);58%[53];Semana 4;10;;
151;14;Alex Vilanova;Líder (Cadu);56%[54];Semana 4;10;;
152;15;Tessália Serighelli;Líder (Lia);78%[55];Semana 3;10;;
153;16;Ana Marcela Alves;Big Fone (Tessália);40%[56];Semana 2;10;;
154;17;Joseane Oliveira;Casa (5 votos);61%[57];Semana 1;10;;
155;18–20;Fani Pacheco;Disputa pelas últimas vagas;—;Semana 1;10;;
156;18–20;Natália Casassola;Disputa pelas últimas vagas;—;Semana 1;10;;
157;18–20;Rafael Valente;Disputa pelas últimas vagas;—;Semana 1;10;;
158;1;Maria Melillo;Finalista;43%[38];—;11;;
159;2;Wesley Schunk;Finalista;31%[38];—;11;;
160;3;Daniel Rolim;Finalista;26%[38];—;11;;
161;4;Diana Balsini;Prova do Líder;75%[39];Semana 11;11;;
162;5;Rodrigão Gomes;Líder (Wesley);51%[40];Semana 10;11;;
163;6;Paula Leite;Big Fone (Maria);63%[41];Semana 10;11;;
164;7;Jaqueline Faria;Líder (Daniel);63%[42];Semana 9;11;;
165;8;Maurício Joaquim;Big Fone (Daniel);63%[43];Semana 9;11;;
166;8;Maurício Joaquim;Líder (Natália);50,81%[44];Semana 2;11;;
167;9;Talula Pascoli;Líder (Rodrigão);61%[45];Semana 8;11;;
168;10–11;Janaína dos Santos;Quarto do Terror (Diana e Paula);33%[46];Semana 7;11;;
